n_trials,status,differential_norm,common_state_norm,differential_partial_r2,permutation_p,null_differential_norm_mean,subject,ablation
240,ok,1.3119338640078337,1.5398960630431153,0.0015165609201294172,0.0297029702970297,1.283069984362961,B78,include_artifact_flagged_trials
240,ok,0.9061850322460285,0.3187557233313556,0.002299559900025172,1.0,0.9380064889480483,C82,include_artifact_flagged_trials
240,ok,0.6257649526627274,1.2783204299625508,0.003327606046691689,1.0,0.6939047607145031,A3,include_artifact_flagged_trials
240,ok,1.171705943814688,0.371003999648195,0.003942151269873406,0.3069306930693069,1.1706925059643338,A15,include_artifact_flagged_trials
240,ok,0.8581640887542189,1.8371654193451254,0.0033930182837142997,0.009900990099009901,0.8562722819107417,A19,include_artifact_flagged_trials
240,ok,0.2371609289399502,0.7875991181722795,0.0012492464751384658,0.009900990099009901,0.17586767094786573,A23,include_artifact_flagged_trials
240,ok,1.4094496792854518,0.7298557661790953,0.004628698112219332,0.9801980198019802,1.4182259862404976,A27,include_artifact_flagged_trials
240,ok,0.7545879049362804,1.3231544528779176,0.0017964273383136442,0.04950495049504951,0.7410260439267011,A31,include_artifact_flagged_trials
240,ok,1.283391836641622,2.0830844701245224,0.0024555397044191407,0.0891089108910891,1.2810559664973475,A35,include_artifact_flagged_trials
240,ok,0.16700859443289642,0.2618726366801227,0.013898737233458247,0.25742574257425743,0.16661826891708043,A43,include_artifact_flagged_trials
240,ok,0.05748225876651743,0.2410502571466303,0.003916235236983923,0.594059405940594,0.0652465433508897,A51,include_artifact_flagged_trials
240,ok,0.12105187864292477,0.45438010492025493,0.05425462742420406,0.12871287128712872,0.11093085967397295,A55,include_artifact_flagged_trials
240,ok,0.605034151697706,0.8661869811707943,0.008726590835210879,0.0297029702970297,0.5324875838166934,B63,include_artifact_flagged_trials
240,ok,0.6541633395075618,0.42492623803675156,0.007061149551595203,0.009900990099009901,0.3706094790266697,B67,include_artifact_flagged_trials
240,ok,0.8646655047457406,1.6606762726910202,0.0048166526746245,0.9504950495049505,0.8890301233743837,B79,include_artifact_flagged_trials
240,ok,0.09103524171826326,0.14398863110137625,0.009022304056866992,0.7128712871287128,0.09518141285274312,C83,include_artifact_flagged_trials
240,ok,0.5191194942369526,0.3404976208687127,0.00704088461718988,0.009900990099009901,0.4027235862397875,C87,include_artifact_flagged_trials
240,ok,0.4326269539933431,2.186414474566591,0.0030913864840352856,0.45544554455445546,0.4337810325344661,A4,include_artifact_flagged_trials
240,ok,0.5596142820103744,2.0274905371956438,0.002050645213351854,0.009900990099009901,0.47417703861501903,A8,include_artifact_flagged_trials
240,ok,1.070978681620708,0.628675052456826,0.0008275645384582253,0.9306930693069307,1.1037635083347215,A12,include_artifact_flagged_trials
240,ok,0.3839502543404415,2.1790812514571374,0.0009466255246697308,0.9207920792079208,0.41275492823588017,A16,include_artifact_flagged_trials
240,ok,0.7457512634281228,0.9395187402639661,0.004702481787434709,0.32673267326732675,0.7454368085572205,A20,include_artifact_flagged_trials
232,ok,0.46092576959132414,1.0686026662450008,0.0034854942182004356,0.6732673267326733,0.4659374393493108,A40,include_artifact_flagged_trials
240,ok,0.07576333089393311,0.26135359877371556,0.006816430129094608,0.7326732673267327,0.0873142259559441,A44,include_artifact_flagged_trials
240,ok,0.21617295866055736,0.4527938889961017,0.017109796210487582,0.36633663366336633,0.20410496211484094,A48,include_artifact_flagged_trials
240,ok,0.11355485932696967,0.19644650019863436,0.004372471837605918,0.7227722772277227,0.11685359686063727,A52,include_artifact_flagged_trials
240,ok,0.1492060945155654,0.48603170358080516,0.039286043054307274,0.06930693069306931,0.12274440341214309,A56,include_artifact_flagged_trials
240,ok,0.06614997539441743,0.24585452841700506,0.006374557335548592,0.42574257425742573,0.06777663812428929,A60,include_artifact_flagged_trials
240,ok,0.36854102166157343,0.7904207738555197,0.0029087602003308177,0.7227722772277227,0.3745940497873869,B64,include_artifact_flagged_trials
240,ok,0.5148930532936189,1.4879408000999021,0.0026117128419737012,0.019801980198019802,0.4674282399230082,B68,include_artifact_flagged_trials
240,ok,0.1824084066949849,0.33932394469709465,0.0020491402062767783,0.6633663366336634,0.1953658550835112,B80,include_artifact_flagged_trials
78,ok,0.3742064961808563,0.41222881159831015,0.03249061780303153,0.009900990099009901,0.26025296928034186,A1,open_loop_R1_R2
79,ok,0.18544210253008142,0.41034796068470125,0.02126597299188482,0.5643564356435643,0.19002861281833358,A5,open_loop_R1_R2
78,ok,0.4148721728295862,0.24160155641168077,0.010337542552830481,0.0297029702970297,0.3811607859061707,A29,open_loop_R1_R2
80,ok,0.2588208623682835,0.13810759794734162,0.009688144461323933,0.4752475247524752,0.25974057891132185,A33,open_loop_R1_R2
80,ok,0.16335491211314918,0.12382637223906877,0.011665797252122467,0.3069306930693069,0.15434664172683804,A37,open_loop_R1_R2
79,ok,0.1778887865683023,0.2975170134657393,0.009827604541095436,0.5544554455445545,0.18173857283691056,A41,open_loop_R1_R2
80,ok,0.07742045623862187,0.2379329032599106,0.018499027476177154,0.06930693069306931,0.060028925580764794,A45,open_loop_R1_R2
80,ok,0.29597322111393026,0.26470543296013055,0.013212430574885303,0.48514851485148514,0.2975586583762655,B69,open_loop_R1_R2
80,ok,0.40264415853297797,0.16796303342804436,0.01161443688491337,0.6336633663366337,0.40640932064821167,B73,open_loop_R1_R2
79,ok,0.14636816577997072,0.15834822451415428,0.011215201224922255,0.24752475247524752,0.14140217268634023,B77,open_loop_R1_R2
80,ok,0.20576399511648033,0.09328142119262878,0.012486390824305027,0.16831683168316833,0.19434648969571938,B81,open_loop_R1_R2
80,ok,0.23287506710796285,0.3475354668987864,0.012343228061666878,0.8613861386138614,0.24375300931915195,C85,open_loop_R1_R2
