subject,dataset,validity_label,observed_status,observed_gap,h1b_common_shift_removed_status,h1b_common_shift_removed_gap,time_control_gap,permutation_subject_mean,permutation_subject_sd,random_subject_mean,random_subject_sd,n_permutation_failures,n_random_failures,n_valid_trials,n_train_parity,n_test_parity,config_hash,seed
C87,C,full_predeclared_inference,ok,0.0334900117508814,ok,0.04708746013093834,0.02748403358159457,-0.0026308208780674845,0.05249966476301059,-0.0024569128638779253,0.05270030227792337,0,0,238,120,118,e90eda294b47248d,1731278539
A4,A,full_predeclared_inference,ok,-0.05610137672090115,ok,-0.09704839382561531,0.022817435642333017,-0.0023773521276669292,0.08800668788058055,0.0008353749489508205,0.08776679709599103,0,0,239,120,119,e90eda294b47248d,3122482111
A8,A,full_predeclared_inference,ok,-0.035663758645974764,ok,-0.04010680002472061,0.09473031908052432,-0.0001779676782785149,0.08041998069747315,0.0012659376505254046,0.08082631083245012,0,0,240,120,120,e90eda294b47248d,3633953039
A12,A,full_predeclared_inference,ok,0.058918952196263086,ok,0.0632376027334011,-0.0842013888888889,-5.853854895376909e-05,0.08104957272897402,-0.0022628563709300798,0.08013310427925921,0,0,240,120,120,e90eda294b47248d,200359470
A16,A,full_predeclared_inference,ok,0.08290883034143628,ok,0.09037923399284115,-0.018661173134857434,-0.0024264693407012603,0.0790539344253663,-0.001172929967619397,0.07895297455895178,0,0,240,120,120,e90eda294b47248d,4121488061
A20,A,full_predeclared_inference,ok,-0.030143341722289163,ok,-0.041654447970237485,0.03189484126984132,-0.0030869246644946334,0.05840076496488672,-0.002410279017816048,0.06076671368632605,0,0,237,118,119,e90eda294b47248d,961813235
A40,A,full_predeclared_inference,ok,0.20961538461538465,ok,0.2175155925155925,0.0201409443269909,0.002914122379845996,0.08117900305418896,-0.005655158303781362,0.08191272770954376,0,0,232,116,116,e90eda294b47248d,2474472272
A44,A,full_predeclared_inference,ok,0.04771825396825391,ok,0.16706349206349208,0.021874999999999978,-0.0017518963058734836,0.07130835147152684,0.0032169741041060086,0.07227537914324157,0,0,240,120,120,e90eda294b47248d,1628543905
A48,A,full_predeclared_inference,ok,-0.03212619617224877,ok,0.010293062200956937,0.06483122627008323,-0.0012952962746708115,0.07048298753400639,-0.003057712869353547,0.07184182762046874,0,0,239,119,120,e90eda294b47248d,2307042149
A52,A,full_predeclared_inference,ok,0.08538237485605898,ok,0.07336054590059168,0.04240793878527013,0.000129145028986557,0.07199430923460362,0.0019554071791454985,0.06924179180857318,0,0,237,118,119,e90eda294b47248d,2027914410
A56,A,full_predeclared_inference,ok,-0.017261904761904645,ok,-0.2284461152882206,0.017354799684430766,-0.0027976759353930173,0.0713044339377948,-0.004428334351510022,0.07138315001731231,0,0,240,120,120,e90eda294b47248d,1999379127
A60,A,full_predeclared_inference,ok,0.02105573229645341,ok,0.013632614587015424,0.012214743191145266,0.00233990908681467,0.0713606002578916,0.007549352032041193,0.07116168154662425,0,0,240,120,120,e90eda294b47248d,1496910337
B64,B,full_predeclared_inference,ok,0.024063730755460144,ok,0.009455782312925182,-0.10120663650075412,-0.002404635876366947,0.07177458766342922,0.0013991289824763014,0.0727727575111816,0,0,238,119,119,e90eda294b47248d,2420474507
B68,B,full_predeclared_inference,ok,-0.15692239858906526,ok,-0.12967372134038802,-0.007523939808481511,-0.0015322764350476329,0.07751990161954679,-0.0014119519712998553,0.08264281415376797,0,0,239,119,120,e90eda294b47248d,3157903917
B80,B,full_predeclared_inference,ok,-0.04648526077097509,ok,-0.042611489040060485,0.059218559218559175,-0.004038433122385486,0.07496760008652877,-0.0002340504878412405,0.07428597444960193,0,0,240,120,120,e90eda294b47248d,1528283963
