subject,dataset,latent_dimension,component,validity_label,sctm_n_trials,sctm_status,sctm_differential_norm,sctm_common_state_norm,sctm_differential_partial_r2,sctm_permutation_p,sctm_null_differential_norm_mean,cross_low_to_high_within_auc,cross_low_to_high_cross_auc,cross_high_to_low_within_auc,cross_high_to_low_cross_auc,cross_status,cross_cross_state_gap
B68,B,2,1,fixed_dimension_sensitivity_ablation,239,ok,0.5123142671278128,1.4830189928262385,0.0027073113392956927,0.00796812749003984,0.4694638785709327,0.4933862433862434,0.48888888888888893,0.3123456790123457,0.6574074074074073,ok,-0.17028218694885358
B80,B,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.1824084066949849,0.33932394469709465,0.0020491402062766673,0.701195219123506,0.19572443153063285,0.5136054421768708,0.5740740740740741,0.4708994708994708,0.5034013605442177,ok,-0.04648526077097509
A1,A,2,2,fixed_dimension_sensitivity_ablation,238,ok,0.28582533747221944,0.41146849242451566,0.0023015662415762916,0.9482071713147411,0.29592273507266303,0.8428805237315876,0.9247606019151847,0.6826265389876881,0.630114566284779,ok,-0.014684052740344011
A5,A,2,2,fixed_dimension_sensitivity_ablation,238,ok,1.5725469039620892,2.2336798598501004,0.006665334248570298,1.0,1.650866650972363,0.5441860465116279,0.6185185185185185,0.5833333333333334,0.6453488372093024,ok,-0.06817398794142976
A29,A,2,2,fixed_dimension_sensitivity_ablation,238,ok,1.3242889242800158,2.5851923768926603,0.0146384663554604,0.6812749003984063,1.3313101855639398,0.6337209302325582,0.6970588235294117,0.6279411764705882,0.4511627906976744,ok,0.056720246238030125
A33,A,2,2,fixed_dimension_sensitivity_ablation,240,ok,1.4671842342965744,0.9356192948846709,0.0036231567670671483,0.00796812749003984,1.4478940304193324,0.9281842818428184,0.874390243902439,0.6658536585365854,0.8048780487804879,ok,-0.042615176151761525
A37,A,2,2,fixed_dimension_sensitivity_ablation,239,ok,1.1534508189478136,1.775504961211812,0.004397917985591748,1.0,1.166754821152223,0.6312500000000001,0.43421052631578944,0.7065789473684211,0.72,ok,0.09180921052631588
A41,A,2,2,fixed_dimension_sensitivity_ablation,236,ok,1.0771908013118425,0.9997121073948343,0.003342994306001934,0.00398406374501992,0.7542297410936377,0.6407894736842107,0.6819444444444445,0.6708333333333334,0.4710526315789474,ok,0.07931286549707611
A45,A,2,2,fixed_dimension_sensitivity_ablation,240,ok,0.056990471633154086,0.11132653370064154,0.009765894550387233,0.035856573705179286,0.05160563167460425,0.5123873873873874,0.41419294990723565,0.6168831168831168,0.48761261261261263,ok,0.11373247087532798
B69,B,2,2,fixed_dimension_sensitivity_ablation,240,ok,0.5812387543303267,0.14765975167855108,0.0036122824440639745,0.21115537848605578,0.5768669196099986,0.9310710498409331,0.7954545454545454,0.8208556149732621,0.8886532343584305,ok,0.03390944250060968
B73,B,2,2,fixed_dimension_sensitivity_ablation,238,ok,1.0156931646170175,1.455924887985451,0.015465798518709328,0.00398406374501992,0.3894580349858043,0.8903703703703704,0.8959899749373433,0.9323308270676691,0.8266666666666667,ok,0.050022277917014746
B77,B,2,2,fixed_dimension_sensitivity_ablation,239,ok,0.5985566035404446,0.7857931803493151,0.0029324088680059424,0.00398406374501992,0.5317362771612115,0.6479690522243713,0.6771196283391405,0.4924506387921022,0.6479690522243714,ok,-0.09233449477351921
B81,B,2,2,fixed_dimension_sensitivity_ablation,240,ok,0.508986555962939,0.3419331036768706,0.004761155860747879,0.43824701195219123,0.5128992803349778,0.3647490820073439,0.5297619047619048,0.46577380952380953,0.5348837209302325,ok,-0.11706136708049192
C85,C,2,2,fixed_dimension_sensitivity_ablation,240,ok,0.1737583102932383,0.19454983274680873,0.006089294809777268,1.0,0.19209342343993605,0.5789473684210527,0.5732558139534883,0.6662790697674419,0.5152354570637119,ok,0.07836758358564716
A2,A,2,2,fixed_dimension_sensitivity_ablation,238,ok,0.38673081604851833,1.8434461253456065,0.0024444874201465794,0.6095617529880478,0.39333694252831064,0.4935437589670014,0.5667828106852497,0.5656213704994193,0.5882352941176471,ok,-0.04792648766823804
A6,A,2,2,fixed_dimension_sensitivity_ablation,238,ok,2.095792848971147,0.878024949075113,0.0057502289132425055,1.0,2.138974534511529,0.7204861111111112,0.6763157894736842,0.781578947368421,0.7673611111111112,ok,0.029194078947368418
A14,A,2,2,fixed_dimension_sensitivity_ablation,236,ok,1.3351854232633458,1.6180891424613502,0.004027081857142623,1.0,1.4283147362249315,0.537467700258398,0.5041666666666667,0.5874999999999999,0.6886304909560723,ok,-0.03391472868217055
A18,A,2,2,fixed_dimension_sensitivity_ablation,240,ok,0.3293093739581217,1.9520887341548998,0.003370989511777278,0.7330677290836654,0.3433095080341487,0.8612244897959183,0.7693181818181818,0.8159090909090909,0.6843537414965987,ok,0.11173082869511436
A22,A,2,2,fixed_dimension_sensitivity_ablation,239,ok,0.28464440725598794,0.2588108946689723,0.0019761270145832732,0.3944223107569721,0.2849516626731759,0.8492822966507176,0.7936507936507936,0.5648148148148148,0.8181818181818181,ok,-0.09886775018353966
