subject,dataset,baseline,n_train,n_test,accuracy,error
A46,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A47,A,CSP_LDA,160.0,80.0,0.4875,
A47,A,FBCSP_proxy_logreg,160.0,80.0,0.5,
A47,A,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A47,A,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A47,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A48,A,CSP_LDA,160.0,80.0,0.675,
A48,A,FBCSP_proxy_logreg,160.0,80.0,0.5,
A48,A,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A48,A,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A48,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A49,A,CSP_LDA,160.0,80.0,0.4875,
A49,A,FBCSP_proxy_logreg,160.0,80.0,0.5,
A49,A,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A49,A,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A49,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A4,A,CSP_LDA,160.0,80.0,0.5375,
A4,A,FBCSP_proxy_logreg,160.0,80.0,0.6125,
A4,A,Riemannian_MDM,160.0,80.0,0.5,
A4,A,Tangent_logreg,160.0,80.0,0.6,
A4,A,engineered_sensorimotor_logreg,160.0,80.0,0.5375,
A50,A,CSP_LDA,160.0,80.0,0.5125,
A50,A,FBCSP_proxy_logreg,160.0,80.0,0.5,
A50,A,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A50,A,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A50,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A51,A,CSP_LDA,160.0,80.0,0.425,
A51,A,FBCSP_proxy_logreg,160.0,80.0,0.5,
A51,A,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A51,A,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A51,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A52,A,CSP_LDA,160.0,80.0,0.65,
A52,A,FBCSP_proxy_logreg,160.0,80.0,0.5,
A52,A,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A52,A,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A52,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A53,A,CSP_LDA,160.0,80.0,0.575,
A53,A,FBCSP_proxy_logreg,160.0,80.0,0.5,
A53,A,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A53,A,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A53,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A54,A,CSP_LDA,160.0,80.0,0.6875,
A54,A,FBCSP_proxy_logreg,160.0,80.0,0.5,
A54,A,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A54,A,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A54,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A55,A,CSP_LDA,160.0,80.0,0.9,
A55,A,FBCSP_proxy_logreg,160.0,80.0,0.5,
A55,A,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A55,A,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A55,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A56,A,CSP_LDA,160.0,80.0,0.8125,
A56,A,FBCSP_proxy_logreg,160.0,80.0,0.5,
A56,A,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A56,A,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A56,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A57,A,CSP_LDA,160.0,80.0,0.7125,
A57,A,FBCSP_proxy_logreg,160.0,80.0,0.5,
A57,A,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A57,A,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A57,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A58,A,CSP_LDA,160.0,80.0,0.55,
A58,A,FBCSP_proxy_logreg,160.0,80.0,0.5,
A58,A,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A58,A,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A58,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A5,A,CSP_LDA,160.0,80.0,0.5,
A5,A,FBCSP_proxy_logreg,160.0,80.0,0.475,
A5,A,Riemannian_MDM,160.0,80.0,0.5,
A5,A,Tangent_logreg,160.0,80.0,0.5125,
A5,A,engineered_sensorimotor_logreg,160.0,80.0,0.475,
A60,A,CSP_LDA,160.0,80.0,0.625,
A60,A,FBCSP_proxy_logreg,160.0,80.0,0.5,
A60,A,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A60,A,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A60,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A6,A,CSP_LDA,160.0,80.0,0.625,
A6,A,FBCSP_proxy_logreg,160.0,80.0,0.5125,
A6,A,Riemannian_MDM,160.0,80.0,0.5,
A6,A,Tangent_logreg,160.0,80.0,0.625,
A6,A,engineered_sensorimotor_logreg,160.0,80.0,0.5125,
A7,A,CSP_LDA,160.0,80.0,0.5,
A7,A,FBCSP_proxy_logreg,160.0,80.0,0.525,
A7,A,Riemannian_MDM,160.0,80.0,0.5,
A7,A,Tangent_logreg,160.0,80.0,0.6125,
A7,A,engineered_sensorimotor_logreg,160.0,80.0,0.5875,
A8,A,CSP_LDA,160.0,80.0,0.575,
A8,A,FBCSP_proxy_logreg,160.0,80.0,0.5875,
A8,A,Riemannian_MDM,160.0,80.0,0.5,
A8,A,Tangent_logreg,160.0,80.0,0.5,
A8,A,engineered_sensorimotor_logreg,160.0,80.0,0.5875,
A9,A,CSP_LDA,160.0,80.0,0.5,
A9,A,FBCSP_proxy_logreg,160.0,80.0,0.5125,
A9,A,Riemannian_MDM,160.0,80.0,0.5,
A9,A,Tangent_logreg,160.0,80.0,0.5,
A9,A,engineered_sensorimotor_logreg,160.0,80.0,0.65,
B61,B,CSP_LDA,160.0,80.0,0.5,
B61,B,FBCSP_proxy_logreg,160.0,80.0,0.6375,
B61,B,Riemannian_MDM,160.0,80.0,0.7125,
B61,B,Tangent_logreg,160.0,80.0,0.7,
B61,B,engineered_sensorimotor_logreg,160.0,80.0,0.575,
B62,B,CSP_LDA,160.0,80.0,0.9,
B62,B,FBCSP_proxy_logreg,160.0,80.0,0.825,
B62,B,Riemannian_MDM,160.0,80.0,0.9125,
B62,B,Tangent_logreg,160.0,80.0,0.8375,
B62,B,engineered_sensorimotor_logreg,160.0,80.0,0.7125,
B63,B,CSP_LDA,160.0,80.0,0.5,
B63,B,FBCSP_proxy_logreg,160.0,80.0,0.5625,
B63,B,Riemannian_MDM,160.0,80.0,0.6,
B63,B,Tangent_logreg,160.0,80.0,0.5875,
B63,B,engineered_sensorimotor_logreg,160.0,80.0,0.575,
B64,B,CSP_LDA,160.0,80.0,0.525,
B64,B,FBCSP_proxy_logreg,160.0,80.0,0.5875,
B64,B,Riemannian_MDM,160.0,80.0,0.55,
B64,B,Tangent_logreg,160.0,80.0,0.5,
B64,B,engineered_sensorimotor_logreg,160.0,80.0,0.6,
B65,B,CSP_LDA,160.0,80.0,0.5875,
B65,B,FBCSP_proxy_logreg,160.0,80.0,0.6375,
B65,B,Riemannian_MDM,160.0,80.0,0.7625,
B65,B,Tangent_logreg,160.0,80.0,0.9,
B65,B,engineered_sensorimotor_logreg,160.0,80.0,0.725,
B66,B,CSP_LDA,160.0,80.0,0.4875,
B66,B,FBCSP_proxy_logreg,160.0,80.0,0.625,
B66,B,Riemannian_MDM,160.0,80.0,0.6625,
B66,B,Tangent_logreg,160.0,80.0,0.65,
B66,B,engineered_sensorimotor_logreg,160.0,80.0,0.6375,
B67,B,CSP_LDA,160.0,80.0,0.5,
B67,B,FBCSP_proxy_logreg,160.0,80.0,0.55,
B67,B,Riemannian_MDM,160.0,80.0,0.5,
B67,B,Tangent_logreg,160.0,80.0,0.5375,
B67,B,engineered_sensorimotor_logreg,160.0,80.0,0.5375,
B68,B,CSP_LDA,160.0,80.0,0.5,
B68,B,FBCSP_proxy_logreg,160.0,80.0,0.6375,
B68,B,Riemannian_MDM,160.0,80.0,0.5375,
B68,B,Tangent_logreg,160.0,80.0,0.5,
B68,B,engineered_sensorimotor_logreg,160.0,80.0,0.5625,
B69,B,CSP_LDA,160.0,80.0,0.85,
B69,B,FBCSP_proxy_logreg,160.0,80.0,0.6875,
B69,B,Riemannian_MDM,160.0,80.0,0.5625,
B69,B,Tangent_logreg,160.0,80.0,0.95,
B69,B,engineered_sensorimotor_logreg,160.0,80.0,0.625,
B70,B,CSP_LDA,160.0,80.0,0.475,
B70,B,FBCSP_proxy_logreg,160.0,80.0,0.525,
B70,B,Riemannian_MDM,160.0,80.0,0.5125,
