subject,control,repeat,low_to_high_within_auc,low_to_high_cross_auc,high_to_low_within_auc,high_to_low_cross_auc,status,cross_state_gap
A41,random_within_run_split,4,0.6749226006191951,0.7285714285714286,0.6916666666666667,0.5696594427244581,ok,0.034179197994987476
A45,observed_state,0,0.4714445688689809,0.5606837606837607,0.5555555555555556,0.48488241881298993,ok,-0.009283027536107075
A45,within_run_state_permutation,0,0.5049342105263158,0.5718749999999999,0.5364583333333334,0.5345394736842105,ok,-0.032510964912280615
A45,within_run_trial_index,0,0.6104497354497354,0.4879261363636364,0.37571022727272724,0.5178571428571429,ok,-0.009811658249158361
A45,random_within_run_split,0,0.4964131994261119,0.4549019607843138,0.5712418300653594,0.5552367288378767,ok,0.02875816993464045
A45,within_run_state_permutation,1,0.47049689440993786,0.55375,0.5449999999999999,0.45496894409937894,ok,0.0033889751552794445
A45,within_run_trial_index,1,0.6104497354497354,0.4879261363636364,0.37571022727272724,0.5178571428571429,ok,-0.009811658249158361
A45,random_within_run_split,1,0.45295983086680763,0.617248062015504,0.4796511627906977,0.593551797040169,ok,-0.13909443269908384
A45,within_run_state_permutation,2,0.5822368421052632,0.5305059523809523,0.3712797619047619,0.5625,ok,-0.06974467418546362
A45,within_run_trial_index,2,0.6104497354497354,0.4879261363636364,0.37571022727272724,0.5178571428571429,ok,-0.009811658249158361
A45,random_within_run_split,2,0.5681114551083591,0.6243872549019608,0.5055147058823529,0.5100619195046441,ok,-0.0304115067079464
A45,within_run_state_permutation,3,0.4879336349924585,0.5431789737171464,0.4962453066332916,0.6327300150829562,ok,-0.09586502358717627
A45,within_run_trial_index,3,0.6104497354497354,0.4879261363636364,0.37571022727272724,0.5178571428571429,ok,-0.009811658249158361
A45,random_within_run_split,3,0.5555555555555556,0.5359375,0.46875,0.678743961352657,ok,-0.0951879528985507
A45,within_run_state_permutation,4,0.5740514075887394,0.4356589147286822,0.5643410852713178,0.5716034271725826,ok,0.06556507547939619
A45,within_run_trial_index,4,0.6104497354497354,0.4879261363636364,0.37571022727272724,0.5178571428571429,ok,-0.009811658249158361
A45,random_within_run_split,4,0.6884498480243162,0.42307692307692313,0.46794871794871795,0.5668693009118542,ok,0.08322617099212842
B69,observed_state,0,0.9521367521367521,0.9037037037037037,0.7814814814814814,0.8,ok,0.014957264957264904
B69,within_run_state_permutation,0,0.8272017837235228,0.8547979797979798,0.8282828282828283,0.8929765886287625,ok,-0.046144978210195586
B69,within_run_trial_index,0,0.9259259259259259,0.8241758241758241,0.9169719169719169,0.8935185185185186,ok,0.06260175010175006
B69,random_within_run_split,0,0.8546712802768166,0.9320557491289199,0.7369337979094077,0.801038062283737,ok,-0.07074436661321626
B69,within_run_state_permutation,1,0.9285714285714286,0.8400537634408602,0.8091397849462366,0.9404761904761905,ok,-0.021409370199692745
B69,within_run_trial_index,1,0.9259259259259259,0.8241758241758241,0.9169719169719169,0.8935185185185186,ok,0.06260175010175006
B69,random_within_run_split,1,0.8616071428571428,0.933139534883721,0.7742248062015504,0.7812499999999999,ok,-0.03927879291251385
B69,within_run_state_permutation,2,0.8534850640113798,0.8704453441295547,0.861336032388664,0.8805120910384068,ok,-0.018068169383958832
B69,within_run_trial_index,2,0.9259259259259259,0.8241758241758241,0.9169719169719169,0.8935185185185186,ok,0.06260175010175006
B69,random_within_run_split,2,0.8222453222453222,0.7673130193905816,0.7534626038781164,0.7546777546777547,ok,0.02685857602755115
B69,within_run_state_permutation,3,0.8761904761904762,0.753125,0.6854166666666666,0.8258503401360544,ok,-0.00868409863945585
B69,within_run_trial_index,3,0.9259259259259259,0.8241758241758241,0.9169719169719169,0.8935185185185186,ok,0.06260175010175006
B69,random_within_run_split,3,0.6940133037694013,0.9066496163682864,0.8516624040920715,0.7882483370288249,ok,-0.07461112276781928
B69,within_run_state_permutation,4,0.755072463768116,0.9045977011494253,0.9114942528735632,0.9043478260869566,ok,-0.07118940529735135
B69,within_run_trial_index,4,0.9259259259259259,0.8241758241758241,0.9169719169719169,0.8935185185185186,ok,0.06260175010175006
B69,random_within_run_split,4,0.752262443438914,0.7843388960205391,0.7946084724005136,0.840497737556561,ok,-0.038982858868836234
B73,observed_state,0,0.9508448540706606,0.9500000000000001,0.9576923076923076,0.8417818740399385,ok,0.05837764386151478
B73,within_run_state_permutation,0,0.9225,0.8633720930232558,0.8953488372093023,0.91875,ok,0.017863372093023244
