branch,validity_label,subject,dataset,rejection_rate,sctm_n_trials,sctm_status,sctm_differential_norm,sctm_common_state_norm,sctm_differential_partial_r2,sctm_permutation_p,sctm_null_differential_norm_mean,cross_low_to_high_within_auc,cross_low_to_high_cross_auc,cross_high_to_low_within_auc,cross_high_to_low_cross_auc,cross_status,cross_cross_state_gap,permutations,seed
no_eog_regression,preprocessing_sensitivity_ablation,B69,B,0.0,240,ok,0.08335338577627674,0.5032939573379697,0.006407286501437848,0.9123505976095617,0.09738091188296513,0.9504273504273504,0.8722222222222222,0.8009259259259259,0.8598290598290599,ok,0.009650997150997098,250,2227183541
no_eog_regression,preprocessing_sensitivity_ablation,B73,B,0.008333333333333333,238,ok,0.49478531284429594,0.37370624402279046,0.0026441416692460917,0.8844621513944223,0.4984347267372481,0.9585253456221199,0.9512820512820512,0.8576923076923078,0.8187403993855606,ok,0.02309760132340788,250,4101003228
no_eog_regression,preprocessing_sensitivity_ablation,B74,B,0.0,240,ok,0.2682885459388749,0.20786577546591473,0.0042040460972639915,0.199203187250996,0.25930572316321954,0.8157894736842105,0.7445054945054945,0.6172161172161172,0.5319548872180451,ok,0.07827260458839408,250,3653707769
no_eog_regression,preprocessing_sensitivity_ablation,B77,B,0.008333333333333333,238,ok,0.2630554256364181,0.2795181881748733,0.005511170329901338,0.00398406374501992,0.21997279694145297,0.5398110661268556,0.5855572998430141,0.7189952904238618,0.4251012145748988,ok,0.12407392106640225,250,536566800
no_eog_regression,preprocessing_sensitivity_ablation,B78,B,0.0125,237,ok,0.38114793862091906,0.9221664827169056,0.003532190498299337,0.0796812749003984,0.36276915443574376,0.6943089430894309,0.7172557172557172,0.7983367983367984,0.7804878048780488,ok,-0.002548890353768374,250,2875395488
no_eog_regression,preprocessing_sensitivity_ablation,B79,B,0.0,240,ok,0.17682630917611256,0.9136021018792041,0.0068928095487170715,0.5179282868525896,0.18344126318085424,0.7291666666666666,0.8257839721254355,0.9349593495934959,0.9319444444444445,ok,-0.046801200154858724,250,3733062535
no_eog_regression,preprocessing_sensitivity_ablation,B80,B,0.0,240,ok,0.05807329227074275,0.21776574609014368,0.0031444525954993363,0.7410358565737052,0.06745989643059175,0.6575963718820861,0.6124338624338624,0.4272486772486772,0.49999999999999994,ok,-0.013794406651549546,250,848813007
no_eog_regression,preprocessing_sensitivity_ablation,B81,B,0.016666666666666666,236,ok,0.323219887454054,0.344125733767141,0.005803315848991519,0.00398406374501992,0.25520746730315635,0.5633333333333334,0.6044444444444443,0.7022222222222223,0.4666666666666667,ok,0.09722222222222232,250,214478592
no_eog_regression,preprocessing_sensitivity_ablation,C82,C,0.0,240,ok,0.3374022947817189,0.27729094578034996,0.0035009989002788844,0.47410358565737054,0.33771745400710934,0.525,0.4948148148148148,0.2992592592592592,0.49375,ok,-0.0821527777777778,250,932881950
no_eog_regression,preprocessing_sensitivity_ablation,C83,C,0.004166666666666667,239,ok,0.15474412252984351,0.144462583984971,0.018372021736534405,0.43824701195219123,0.15531892109974582,0.5778164924506387,0.5676638176638177,0.5733618233618233,0.5708478513356562,ok,0.0063333234064940624,250,1831175188
no_eog_regression,preprocessing_sensitivity_ablation,C85,C,0.0,240,ok,0.17017919433652234,0.21586252806274872,0.0222170616819507,0.27091633466135456,0.16401919313870394,0.5574494949494949,0.42471042471042464,0.5398970398970399,0.6306818181818181,ok,0.020977145977146006,250,3372925198
no_eog_regression,preprocessing_sensitivity_ablation,C87,C,0.0,240,ok,0.2705472095384604,0.48668411730677225,0.00849451551826741,0.4940239043824701,0.27480882254920513,0.931077694235589,0.8272311212814645,0.6887871853546911,0.7731829573934837,ok,0.0097254004576659,250,3880409210
